artifact_path,status,category,note,exists
output/chi_open_system/chi_open_system_exact_schur_singleton_strict_slab_trace_synthesis_source_summary.csv,canonical_certificate,open_system_exact_bridge,O71 strict-slab physical trace synthesis certificate; closes the exact-bridge bottleneck for reviewer purposes.,True
output/chi_open_system/chi_open_system_exact_schur_singleton_strict_slab_gs_rate_source_summary.csv,canonical_certificate,open_system_exact_bridge,O72 secondary GS-rate certificate for the monotone adjoint-barrier sweep counts.,True
output/hll_absolute_normalization/hll_absolute_normalization_synthesis_source_summary.csv,canonical_certificate,eymh_normalization,"U9 structural absolute-normalization synthesis; ratio constants, amplitude factorization, tree/source identities, kernel, and width profile closed on the audited domain.",True
output/hll_absolute_normalization/hll_y2raw_adoption_impact_gate_summary.csv,diagnostic_gate,eymh_normalization,U10 direct y2raw(D*) impact gate; parent-point audited but diagnostic-only because it changes D21xE21 acceptance topology.,True
output/hll_absolute_normalization/hll_y2raw_projector_continuation_summary.csv,canonical_certificate,eymh_normalization,U12 fixed-bridge projector-continuation certificate; direct y2raw(D*) crosses the D21xE21 acceptance boundary before the full direct endpoint.,True
output/hll_absolute_normalization/hll_y2raw_topology_adoption_policy_summary.csv,canonical_certificate,eymh_normalization,U13 explicit topology-changing adoption certificate; direct y2raw(D*) is a monotone no-loss one-component acceptance expansion under the fixed bridge.,True
output/hll_absolute_normalization/hll_y2raw_topology_margin_certificate_summary.csv,canonical_certificate,eymh_normalization,U14 margin-robustness certificate for the explicit U13 topology-changing direct-y2raw branch.,True
paper/hll_uv_action_loop_eymh_feshbach_complement_summary_D21E21_fix.csv,canonical_certificate,eymh_normalization,U11 projected parent-kernel Feshbach-Schur complement budget; full-prefactor eps_F^(eq)<=2.33e-15 under the 1e-12 guard.,True
output/superrad_fp_1d/channel_resolved_A_l_tensor_D4-20full_eta3_N1-2-3_l1-2_summary.csv,monitor_artifact,localized_channel_tensor,A1 localized channel tensor extraction; useful extraction upgrade but not an all-valid production replacement.,True
output/superrad_fp_1d/channel_A_tensor_impact_Dgrid60_Egrid21_summary.csv,monitor_artifact,localized_channel_tensor,"A1 D60/E21 impact gate; bound-sector fallback is production-safe, strict all-valid tensor lookup is not.",True
output/tcoh_fp_1d/tcoh_impact_gate_Dgrid60_Egrid21_summary.csv,diagnostic_gate,profile_gate,t_coh^(deph)(D) impact gate; diagnostic-only because it changes H->mumu acceptance and winner topology.,True
output/eta_fp_1d/eta_impact_gate_Dgrid60_Egrid21_summary.csv,monitor_artifact,profile_gate,"eta_fp(D) impact gate; profile-scaled branches are adoption-safe, fully closed eta-axis variants remain diagnostic-only.",True
paper/open_system_micro_baseline_candidate.csv,diagnostic_variant,open_system_gate,Open-system micro baseline-candidate gate decision (diagnostic track).,True
paper/kappa_env_anchor_calibration.csv,diagnostic_variant,open_system_gate,Multi-anchor kappa_env calibration summary for open-system micro mode.,True
paper/kappa_env_anchor_holdout.csv,diagnostic_variant,open_system_gate,Holdout validation metrics for multi-anchor kappa_env calibration.,True
output/kinetic_action_chain/action_chain_consistency_summary.csv,legacy_comparator,chain_mode_audit,Older surrogate-vs-action comparator; not cited in current main text.,True
output/kinetic_action_chain/action_chain_consistency.png,legacy_comparator,chain_mode_audit,Legacy comparator figure; retained for history only.,True
